 x2; P/kPa; ∆P/Pa; γ1; γ2; GE/J‚mol-1;
;;;;;;T=258.15K
0.1029;1.763; -3.0;1.0584; 3.5858;422.0;
0.1957;1.728;12.0; 1.1473; 2.2322;619.0;
0.2650;1.687;13.0; 1.2241; 1.7942;702.0;
0.3503;1.600; -6.0; 1.329; 1.4886;750.0;
0.4477; 1.491;12.0; 1.4625; 1.2874;747.0;
0.5528;1.339;-12; 1.6240; 1.1586;690;
0.6397;1.191;3;  1.7723; 1.0918 ;607;
0.7345;0.964;1; 1.9507; 1.0449;485;
0.8543;0.603;6; 2.2038; 1.0121;290;
0.9136;0.384;8; 2.3418;  1.0041;179;
;;;;;;T=283.15K
 0.1029; 2.374;16.0;  1.0602 ;  3.5033;427;
 0.1957; 2.301;9.0;  1.1493; 2.1789;622;
0.2650; 2.236;3.0;  1.2252; 1.7561;703;
 0.3504; 2.125; -14.0; 1.3279;  1.4629;748;
 0.4477;  1.984; -11.0;  1.4569;  1.2709;742;
 0.5529;  1.779; -7.0;  1.6108; 1.1488;682;
 0.6398;  1.569; 6.0; 1.7502;  1.0857;599;
 0.7345;  1.272; 12.0; 1.9158;  1.0417;477;
 0.8543; 0.769; -6.0; 2.1467;  1.0112 ;284;
 0.9136;  0.489; 3.0;  2.2708;  1.0038;175;
;;;;;;T=288.15 K
0.1030; 3.101;9; 1.0557; 3.4104;419;
0.1958; 3.018;21; 1.1415; 2.1558;615;
0.2651; 2.920;3; 1.2153; 1.7451;697;
0.3504; 2.777;-13; 1.3157; 1.4577;743;
0.4478; 2.592;-8; 1.4420; 1.2683;739;
0.5530; 2.310;-14; 1.5930; 1.1475;681;
0.6399; 2.038;5; 1.7297; 1.0850;598;
0.7346; 1.639;-1; 1.8921; 1.0414;477;
0.8544; 1.021;14; 2.1184; 1.0111;285;
0.9137; 0.636;4; 2.2400; 1.0037;17;
;;;;;;T=293.15K
0.1030; 4.034;10; 1.0528; 3.3050;413;
0.1958; 3.916;24; 1.1357; 2.1179;608;
0.2651; 3.786;5; 1.2075; 1.7228;689;
0.3505; 3.593;-19; 1.3050; 1.4445;736;
